,T1,T2,score_1,score_2,year
0,Chennai Super Kings,Rajasthan Royals,163,164,2008
1,Chennai Super Kings,Kings XI Punjab,116,112,2008
2,Delhi Capitals,Rajasthan Royals,87,192,2008
3,Kings XI Punjab,Rajasthan Royals,221,180,2008
4,Royal Challengers Bangalore,Mumbai Indians,122,126,2008
5,Deccan Chargers,Chennai Super Kings,147,148,2008
6,Rajasthan Royals,Mumbai Indians,146,145,2008
7,Kolkata Knight Riders,Kings XI Punjab,175,174,2008
8,Deccan Chargers,Royal Challengers Bangalore,165,171,2008
9,Delhi Capitals,Mumbai Indians,179,176,2008
10,Chennai Super Kings,Rajasthan Royals,201,211,2008
11,Kings XI Punjab,Deccan Chargers,178,175,2008
12,Chennai Super Kings,Royal Challengers Bangalore,112,126,2008
13,Mumbai Indians,Kings XI Punjab,188,189,2008
14,Kolkata Knight Riders,Rajasthan Royals,147,150,2008
15,Royal Challengers Bangalore,Delhi Capitals,154,158,2008
16,Deccan Chargers,Mumbai Indians,153,178,2008
17,Kolkata Knight Riders,Chennai Super Kings,52,55,2008
18,Delhi Capitals,Kings XI Punjab,88,94,2008
19,Rajasthan Royals,Royal Challengers Bangalore,197,132,2008
20,Mumbai Indians,Kolkata Knight Riders,68,67,2008
21,Delhi Capitals,Deccan Chargers,194,182,2008
22,Mumbai Indians,Chennai Super Kings,158,156,2008
23,Kolkata Knight Riders,Delhi Capitals,133,110,2008
24,Kings XI Punjab,Royal Challengers Bangalore,144,143,2008
25,Rajasthan Royals,Delhi Capitals,159,156,2008
26,Deccan Chargers,Kolkata Knight Riders,181,204,2008
27,Chennai Super Kings,Kings XI Punjab,181,163,2008
28,Rajasthan Royals,Deccan Chargers,141,140,2008
29,Kolkata Knight Riders,Royal Challengers Bangalore,129,124,2008
30,Delhi Capitals,Chennai Super Kings,187,188,2008
31,Mumbai Indians,Rajasthan Royals,104,103,2008
32,Chennai Super Kings,Deccan Chargers,144,148,2008
33,Royal Challengers Bangalore,Kings XI Punjab,126,127,2008
34,Rajasthan Royals,Chennai Super Kings,110,109,2008
35,Mumbai Indians,Delhi Capitals,162,133,2008
36,Kings XI Punjab,Kolkata Knight Riders,178,169,2008
37,Royal Challengers Bangalore,Deccan Chargers,156,153,2008
38,Chennai Super Kings,Delhi Capitals,169,172,2008
39,Deccan Chargers,Kings XI Punjab,164,167,2008
40,Rajasthan Royals,Kolkata Knight Riders,196,151,2008
41,Delhi Capitals,Royal Challengers Bangalore,191,181,2008
42,Kolkata Knight Riders,Mumbai Indians,137,138,2008
43,Royal Challengers Bangalore,Chennai Super Kings,165,178,2008
44,Mumbai Indians,Deccan Chargers,154,155,2008
45,Kings XI Punjab,Delhi Capitals,162,158,2008
46,Royal Challengers Bangalore,Rajasthan Royals,135,138,2008
47,Chennai Super Kings,Kolkata Knight Riders,152,147,2008
48,Kings XI Punjab,Mumbai Indians,182,116,2008
49,Deccan Chargers,Rajasthan Royals,214,217,2008
50,Chennai Super Kings,Mumbai Indians,208,202,2008
51,Deccan Chargers,Delhi Capitals,142,143,2008
52,Rajasthan Royals,Kings XI Punjab,168,166,2008
53,Mumbai Indians,Royal Challengers Bangalore,165,166,2008
54,Kolkata Knight Riders,Deccan Chargers,112,110,2008
55,Delhi Capitals,Rajasthan Royals,132,129,2008
56,Kings XI Punjab,Chennai Super Kings,207,240,2008
57,Royal Challengers Bangalore,Kolkata Knight Riders,82,222,2008
58,Royal Challengers Bangalore,Deccan Chargers,137,143,2009
59,Royal Challengers Bangalore,Chennai Super Kings,149,146,2009
60,Delhi Capitals,Deccan Chargers,153,154,2009
61,Royal Challengers Bangalore,Deccan Chargers,170,158,2009
62,Delhi Capitals,Mumbai Indians,166,165,2009
63,Chennai Super Kings,Kings XI Punjab,116,92,2009
64,Kolkata Knight Riders,Rajasthan Royals,102,101,2009
65,Royal Challengers Bangalore,Delhi Capitals,135,134,2009
66,Chennai Super Kings,Kolkata Knight Riders,188,189,2009
67,Delhi Capitals,Rajasthan Royals,150,136,2009
68,Deccan Chargers,Kings XI Punjab,133,134,2009
69,Deccan Chargers,Kolkata Knight Riders,166,160,2009
70,Chennai Super Kings,Mumbai Indians,151,147,2009
71,Delhi Capitals,Kings XI Punjab,120,123,2009
72,Mumbai Indians,Rajasthan Royals,143,145,2009
73,Royal Challengers Bangalore,Chennai Super Kings,132,129,2009
74,Deccan Chargers,Delhi Capitals,161,173,2009
75,Kings XI Punjab,Mumbai Indians,119,122,2009
76,Royal Challengers Bangalore,Kolkata Knight Riders,176,173,2009
77,Deccan Chargers,Rajasthan Royals,166,113,2009
78,Delhi Capitals,Kolkata Knight Riders,125,123,2009
79,Royal Challengers Bangalore,Mumbai Indians,141,157,2009
80,Chennai Super Kings,Rajasthan Royals,141,140,2009
81,Deccan Chargers,Kings XI Punjab,168,169,2009
82,Delhi Capitals,Mumbai Indians,118,116,2009
83,Chennai Super Kings,Kings XI Punjab,186,174,2009
84,Royal Challengers Bangalore,Rajasthan Royals,105,107,2009
85,Deccan Chargers,Mumbai Indians,145,126,2009
86,Delhi Capitals,Kolkata Knight Riders,157,154,2009
87,Kings XI Punjab,Rajasthan Royals,133,211,2009
88,Chennai Super Kings,Deccan Chargers,178,100,2009
89,Royal Challengers Bangalore,Mumbai Indians,150,149,2009
90,Kings XI Punjab,Kolkata Knight Riders,154,153,2009
91,Chennai Super Kings,Delhi Capitals,163,145,2009
92,Deccan Chargers,Rajasthan Royals,141,142,2009
93,Royal Challengers Bangalore,Kings XI Punjab,145,137,2009
94,Kolkata Knight Riders,Mumbai Indians,139,148,2009
95,Chennai Super Kings,Rajasthan Royals,164,126,2009
96,Deccan Chargers,Delhi Capitals,148,150,2009
97,Kings XI Punjab,Mumbai Indians,119,116,2009
98,Royal Challengers Bangalore,Kolkata Knight Riders,143,139,2009
99,Delhi Capitals,Rajasthan Royals,143,147,2009
100,Kolkata Knight Riders,Mumbai Indians,95,187,2009
101,Chennai Super Kings,Deccan Chargers,165,169,2009
102,Kings XI Punjab,Rajasthan Royals,139,112,2009
103,Royal Challengers Bangalore,Delhi Capitals,149,150,2009
104,Deccan Chargers,Mumbai Indians,168,156,2009
105,Royal Challengers Bangalore,Kings XI Punjab,168,173,2009
106,Kolkata Knight Riders,Rajasthan Royals,150,150,2009
107,Chennai Super Kings,Delhi Capitals,180,189,2009
108,Royal Challengers Bangalore,Deccan Chargers,160,184,2009
109,Kings XI Punjab,Kolkata Knight Riders,68,79,2009
110,Royal Challengers Bangalore,Chennai Super Kings,87,179,2009
111,Deccan Chargers,Kolkata Knight Riders,104,101,2009
112,Delhi Capitals,Kings XI Punjab,58,53,2009
113,Royal Challengers Bangalore,Rajasthan Royals,133,58,2009
114,Chennai Super Kings,Mumbai Indians,146,165,2009
115,Chennai Super Kings,Mumbai Indians,168,146,2010
116,Royal Challengers Bangalore,Deccan Chargers,86,82,2010
117,Chennai Super Kings,Deccan Chargers,142,104,2010
118,Royal Challengers Bangalore,Mumbai Indians,149,184,2010
119,Kolkata Knight Riders,Mumbai Indians,135,133,2010
120,Delhi Capitals,Deccan Chargers,134,145,2010
121,Kings XI Punjab,Chennai Super Kings,192,195,2010
122,Kolkata Knight Riders,Rajasthan Royals,133,132,2010
123,Royal Challengers Bangalore,Mumbai Indians,134,191,2010
124,Kings XI Punjab,Deccan Chargers,174,178,2010
125,Chennai Super Kings,Delhi Capitals,112,113,2010
126,Rajasthan Royals,Royal Challengers Bangalore,130,132,2010
127,Chennai Super Kings,Kolkata Knight Riders,143,139,2010
128,Mumbai Indians,Delhi Capitals,183,144,2010
129,Deccan Chargers,Royal Challengers Bangalore,151,138,2010
130,Rajasthan Royals,Mumbai Indians,137,174,2010
131,Delhi Capitals,Kings XI Punjab,111,112,2010
132,Royal Challengers Bangalore,Kolkata Knight Riders,162,160,2010
133,Deccan Chargers,Chennai Super Kings,139,138,2010
134,Kings XI Punjab,Mumbai Indians,158,154,2010
135,Royal Challengers Bangalore,Deccan Chargers,184,186,2010
136,Kolkata Knight Riders,Delhi Capitals,181,167,2010
137,Rajasthan Royals,Kings XI Punjab,157,153,2010
138,Chennai Super Kings,Mumbai Indians,165,141,2010
139,Deccan Chargers,Rajasthan Royals,157,159,2010
140,Delhi Capitals,Royal Challengers Bangalore,184,147,2010
141,Kolkata Knight Riders,Kings XI Punjab,200,204,2010
142,Mumbai Indians,Deccan Chargers,178,115,2010
143,Chennai Super Kings,Rajasthan Royals,246,223,2010
144,Kings XI Punjab,Royal Challengers Bangalore,181,184,2010
145,Kolkata Knight Riders,Deccan Chargers,181,157,2010
146,Delhi Capitals,Rajasthan Royals,188,121,2010
147,Chennai Super Kings,Royal Challengers Bangalore,162,161,2010
148,Mumbai Indians,Kings XI Punjab,164,163,2010
149,Delhi Capitals,Kolkata Knight Riders,177,137,2010
150,Deccan Chargers,Mumbai Indians,131,172,2010
151,Rajasthan Royals,Chennai Super Kings,177,160,2010
152,Kings XI Punjab,Kolkata Knight Riders,144,183,2010
153,Rajasthan Royals,Deccan Chargers,151,148,2010
154,Mumbai Indians,Chennai Super Kings,181,180,2010
155,Royal Challengers Bangalore,Delhi Capitals,166,183,2010
156,Kings XI Punjab,Rajasthan Royals,152,183,2010
157,Royal Challengers Bangalore,Chennai Super Kings,171,135,2010
158,Mumbai Indians,Kolkata Knight Riders,156,155,2010
159,Chennai Super Kings,Kings XI Punjab,136,136,2010
160,Deccan Chargers,Delhi Capitals,171,161,2010
161,Mumbai Indians,Royal Challengers Bangalore,151,155,2010
162,Rajasthan Royals,Kolkata Knight Riders,168,134,2010
163,Deccan Chargers,Kings XI Punjab,170,164,2010
164,Delhi Capitals,Chennai Super Kings,185,190,2010
165,Royal Challengers Bangalore,Rajasthan Royals,93,92,2010
166,Delhi Capitals,Mumbai Indians,120,218,2010
167,Kolkata Knight Riders,Chennai Super Kings,109,164,2010
168,Royal Challengers Bangalore,Kings XI Punjab,204,203,2010
169,Rajasthan Royals,Delhi Capitals,141,142,2010
170,Chennai Super Kings,Deccan Chargers,159,190,2010
171,Kolkata Knight Riders,Royal Challengers Bangalore,136,135,2010
172,Kings XI Punjab,Delhi Capitals,142,146,2010
173,Mumbai Indians,Rajasthan Royals,212,208,2010
174,Deccan Chargers,Kolkata Knight Riders,150,161,2010
175,Chennai Super Kings,Royal Challengers Bangalore,205,147,2011
176,Royal Challengers Bangalore,Mumbai Indians,185,142,2011
177,Kolkata Knight Riders,Mumbai Indians,147,148,2011
178,Royal Challengers Bangalore,Chennai Super Kings,175,177,2011
179,Kolkata Knight Riders,Mumbai Indians,175,178,2011
180,Royal Challengers Bangalore,Chennai Super Kings,129,128,2011
181,Kings XI Punjab,Deccan Chargers,116,198,2011
182,Mumbai Indians,Rajasthan Royals,133,134,2011
183,Pune Warriors India,Kolkata Knight Riders,118,119,2011
184,Chennai Super Kings,Kochi Tuskers Kerala,152,141,2011
185,Kings XI Punjab,Royal Challengers Bangalore,232,121,2011
186,Pune Warriors India,Deccan Chargers,136,138,2011
187,Kochi Tuskers Kerala,Rajasthan Royals,98,97,2011
188,Kings XI Punjab,Delhi Capitals,170,141,2011
189,Mumbai Indians,Deccan Chargers,125,135,2011
190,Royal Challengers Bangalore,Kolkata Knight Riders,105,101,2011
191,Kochi Tuskers Kerala,Kings XI Punjab,178,181,2011
192,Chennai Super Kings,Delhi Capitals,176,158,2011
193,Rajasthan Royals,Royal Challengers Bangalore,146,151,2011
194,Kings XI Punjab,Mumbai Indians,163,87,2011
